freq_hz,omega_rad_s,amp_m,amp_h1_m
1.029875009950128657e+02,6.470895530750078706e+02,3.544762709984406199e-07,3.615726169976786448e-07
9.798750107926635167e+01,6.156736270684901910e+02,4.128240466252298256e-07,3.639439693927002104e-07
9.298750117983183827e+01,5.842577011644638105e+02,4.779647684405024597e-07,3.737821358644030700e-07
8.798750130240328815e+01,5.528417753987050673e+02,4.952449781111868766e-07,3.974471933609877973e-07
8.298750146452987053e+01,5.214258498814784843e+02,6.258103653402716810e-07,4.428798454916274247e-07
7.798750170189502740e+01,4.900099248369897964e+02,7.594717287065707761e-07,5.229259563957546836e-07
7.298750189542245437e+01,4.585939995170605243e+02,7.654501019782591669e-07,6.756576699157990172e-07
7.173750194260327362e+01,4.507400181795318872e+02,7.734673196866862413e-07,7.290036075635011467e-07
6.673750220634721586e+01,4.193240933007860463e+02,9.099210159572900220e-07,1.003128228803467383e-06
6.173750271636999543e+01,3.879081699694557415e+02,1.230945617500906198e-06,1.384951924616614325e-06
5.673750369628803014e+01,3.564922495905644269e+02,1.685273375963500682e-06,1.822322552501522671e-06
5.173750559097837964e+01,3.250763349593570410e+02,2.004333388532721053e-06,2.114565433623723211e-06
5.048750783588155144e+01,3.172223674305251961e+02,1.923477310747281211e-06,2.054218169028667733e-06
4.923751109864848274e+01,3.093684062971199751e+02,1.812781303873221379e-06,1.994534745900911298e-06
4.892501215052511299e+01,3.074049174977621419e+02,1.790102039610604777e-06,1.990844430493095658e-06
4.767501611618889257e+01,2.995509607807880457e+02,1.791793672538836051e-06,2.052106141081616231e-06
4.736251730359891354e+01,2.975874728330115886e+02,1.857886794301961726e-06,2.088430919864530337e-06
4.611252042094352532e+01,2.897335107858909851e+02,2.098126063447731101e-06,2.281124185990239135e-06
4.580002105955747282e+01,2.877700193899271426e+02,2.138133167803283321e-06,2.325732965065466399e-06
4.455002235226118756e+01,2.799160458782496335e+02,2.239172070826687001e-06,2.447370379803658378e-06
4.330002341057353021e+01,2.720620708938477037e+02,2.298863679157295062e-06,2.514716125914863538e-06
3.830002719659743349e+01,2.406461681462395461e+02,2.445757682869552126e-06,2.579652770827449583e-06
3.705002845945875833e+01,2.327921944470567723e+02,2.447071583533616972e-06,2.550702896687733062e-06
3.205003178038447942e+01,2.013762887771505632e+02,2.229035605956896137e-06,2.248716061190092709e-06
3.080003236343677031e+01,1.935223108066016664e+02,2.141179876053671594e-06,2.148753172286725350e-06
2.580003304842109202e+01,1.621063885745871573e+02,1.822373168867290147e-06,1.819127638752645279e-06
2.080003358675710246e+01,1.306904654211541299e+02,1.643977570047224635e-06,1.641580616947701831e-06
1.580003520861230015e+01,9.927454907567295095e+01,1.661781490398207659e-06,1.608622621301037567e-06
